building,roomNumber,occupancy,apartmentRate,y2006,y2007,y2008,y2009,y2010,y2011,b0,b1
"West Andrews",407,1,,181,160,150,195,85,101,6.59673019829653,-0.0452442867872853
"Metcalf",301,1,,182,,35,20,172,,2.05524309159541,-0.021186838081519
"Metcalf",222,1,,183,93,,,,300,3.98283058319375,-0.0207867828646967
"Wayland House",327,1,,184,123,38,125,141,148,5.12409749337538,-0.0403948955450181
"Wayland House",213,1,,185,225,242,207,191,212,19.761445499089,-0.0937301762932648
"East Andrews",404,1,,186,186,,,,,4257.61857008073,-22.829053754152
"East Andrews",456,1,,186,136,283,170,107,113,4.99377509281845,-0.0300639310594478
"East Andrews",262,1,,186,168,283,141,146,135,6.30544406642773,-0.035634471194389
"Metcalf",110,1,,187,89,,,159,230,5.86064542532904,-0.0351636642700818
"Slater Hall",403,2,,189,605,410,519,154,132,2.83787351105354,-0.00851039260002233
"Young Orchard #10",340,4,1,190,109,188,275,136,391,4.00358898009781,-0.0186767890864959
"Gregorian Quad A",303,4,1,191,235,244,310,274,328,10.3399914457939,-0.0391420480418826
"West Andrews",259,1,,192,167,,186,157,76,6.76100522680454,-0.0433195890856439
"New Pembroke #4",301,1,,194,466,430,,355,339,6.86171624920072,-0.0192035681103153
"Wayland House",218,1,,195,247,,,,50,3.37975159802793,-0.0207511742198519
"Metcalf",316,1,,196,,192,218,180,289,10.0244096465882,-0.0465171925242588
"Metcalf",112,1,,198,89,217,253,159,250,6.18252845537692,-0.0317431529794009
"Olney House",321,1,,199,,386,311,,,7.04411371642716,-0.0235484653757722
"Metcalf",411,1,,200,46,256,38,,,2.18417155385325,-0.0169125271551006
"Metcalf",402,1,,200,,83,137,,,5.27171885720582,-0.0375582706544439
"Metcalf",410,1,,200,,263,251,,,15.8391607464465,-0.0664115760295847
"Metcalf",407,1,,200,,221,121,,,7.62215608715139,-0.0420753770952805
"Gregorian Quad A",304,4,1,201,229,237,249,294,332,10.724648031597,-0.0416492057428957
"Metcalf",308,1,,203,,160,210,92,286,5.37591356151249,-0.0282149671879837
"Young Orchard #10",310,4,1,205,103,193,157,130,104,6.73046778926322,-0.0451286357263654
"Olney House",222,1,,206,,214,366,,,6.44241178765352,-0.0245485744152708
"Wayland House",322,1,,207,240,12,54,141,207,2.81761491300401,-0.0199735968257231
"Metcalf",310,1,,208,172,31,198,237,321,3.93138227011439,-0.0202613927314501
"Grad Center C",110,4,,209,322,313,,349,336,11.1274313822523,-0.0363285854214833
"Hope College",314,1,,211,25,344,99,35,174,1.99062246230377,-0.0142708287867774
"Hegeman C",209,3,,212,268,311,333,272,176,8.8186331114506,-0.033595364398237
"Goddard House",321,1,,213,274,,158,,,8.24381093538331,-0.038255586231052
